,0
6629,yuvo 575 di 4wd cha hi full details video upload kara na....
6630,Very good
6631,Tractor dhua jada deta he
6632,Eicher the best
6633,Veer aa kabjab nhi hona
6634,Bhai sahb Mahindra Ka M. Smart Kha mileka ret Kitna h plij jrur btay
6635,ac cabin me nikalo
6636,ye kewal mahindra me hi nahi hai sab me hai 😡😡😡😡😡
6637,Nice
6638,9011622917 WhatsApp number aaaaa
6639,Please send g k assignment for one month that's why my son is ur band score
6640,Mahol tractors
6641,no.1
6642,no.l
6643,bakvas
6644,Kubota is best.
6645,Kuch kaam ka nahi hai bhai Sab bakwas hai
6646,Fill he bhai
6647,Plz kol mi 8607054000
6648,How much price
6649,super
6650,Price kai
6651,Very nice
6652,आवडले खेती का बाॅस
6653,Sonalika Di 740 best tractar
6654,8669040388
6655,Bahut Gati gatiyaa hai
6656,Fill he Bhai
6657,भाई हम तो चालू नहीं तो ते मर तो कुछ नहीं मित्रता
6658,😂😂😂😅🤑🤑🤑👎👎👎👎👎👎👎👎👎👎👎🏻👎👎👎👎👎👎👎
6659,very bad tractor
6660,Price kya
6661,Rajesh Kumar And Suman bharti
6662,anna tractor ela drive cheyalo telugu lo cheppu
6663,Prize kiya hai
6664,Sir mahindra ke tractor  khet me slip bahut karte he solution nikale
6665,Sir mahindra ke tractor  khet me slip bahut karte he solution nikale
6666,Sir mahindra ke tractor  khet me slip bahut karte he solution nikale
6667,Mahindra Tractors + can you please tell us the tractor model you are using in this video. Thank you
6668,Nice tractor
6669,New Holland me 2012 sa atta the 15gear
6670,price sprayer...
6671,Govinda star💐👍
6672,Nice
6673,Puri jankari do
6674,Sirji puri features ka video banao
6675,Sir Aapse contact kaise kr skte h... Koi no. ya phr e mail I'd h to pls bta dena
6676,gdg
6677,Sir price  kitna ha
6678,Kimat kitna hai
6679,mene kal gharida he yuvo415
6680,kitne. k chhaye
6681,mahindra sarpanch side gear hai kya hai to information video sent kare
6682,mahindra sarpanch me side gear tractor hai kya
6683,Yuvo 575 di price kya hey
6684,Swaraj is best
6685,ok good govt
6686,Kya price 415 sarpanch ka
6687,Center pin kaha hai greasing k liye
6688,"Bhi, gair, laver, sating, not, good, draving, set, and, Strang, ki, hight, Jay da, ha, das, bord, down, ha, ya, parbolm, ha"
6689,Bogas
6690,Je driverless a tan ehnu kyo chadeya ute
6691,Lier
6692,Hamne Mahindra 265di se rotovator chalwate hai
6693,बिहारी डीजल ज्यादा खर्च कर ता है तू हमारे पास 575 युवो है 4 ली से ज्यादा जोताई में नहीं लेता है चाहे जिस यन्त्र में चलाओ नितेश सिंह ठाकुर प्रतापगढ़ यू पी से
6694,Kitne ki hai
6695,यू तो धुआं दे रा..........😊
6696,mere paas 500 akd jmin he
6697,"I want tamil audio,  Massey provide audios in many different languages.  Why not Indian based Mahindra?"
6698,price
6699,Hun ta jhondeer 6110B 110 hp ta Preet 10049 tractor ae gayae na Mahindra ve 100 hp wala tractor la ka avae
6700,MAHINDRA TRACTORS DESH KA NO.1 TRACTOR
6701,Mahindra always best
6702,We badly needed differential lock in mahindera 265 yuvo.
6703,please share your number
6704,Swaraj 855 johta trecter aa y
6705,Are bhai koi commercial karna sikhao
6706,पलीज कोल करो 9284221748
6707,ye tractor bilkul raddy hai.railgadi ki tarah diesel pita hai.mat le.
6708,Yuvo tractor kitne may pada
6709,Kyaa baat hai yuvo tractor zindabad
6710,"Congrats Mahindra for becoming No.3 in US and maintaining no.1 in world.  No competition in future for sure.  Like Usain Bolt, Mahindra has to resign."
6711,coll me no 9890715010
6712,Farmtrac 45 classic bast hai farmtrac look no 1
6713,Powertrac 439 bhater hai
6714,price ??
6715,Good tractor of a farmer
6716,Ye m.smart accessories kitene ka hai iska price kya hai aap bataoge mera no hai ek missed call dena ....9168420853......9404789835
6717,Mere pas ek mehendara uyuvo he new Lekin age k taryr me boblig karta he lef va to kya problem ho sakta he
6718,Mahindra ki ek kmi puri kro back hisa avaj bhut deta ah
6719,Incomplete demo for former point of view.  It is a very very very high level demo.
6720,Are garam ata hai
6721,"How it is most fuel efficient tractor according to this video it is consumed 175 gm per horse power per hour
175gm/per hp × 40 hp = 7.000 ltr. Per hour. I don't think this is low fuel  consumption tractor 7 ltr. Per hour. If i am wrong please elobrate."
6722,Sonalika is best and powerful tractor.
6723,Kya price has 415cg
6724,Kya price... mr 415
6725,Charging mobile kya
6726,E X showroom price kitna hey
6727,60 minat me kitna diesel  khayaga
6728,give side shift gear for comfort operation
6729,Pawar stering nahi he
6730,सर सोनालिका 35 का रिव्यू बताइए हमें जरा हमारे पास ही है
6731,15 king k
6732,kya yar pend se door rakhkar chawon me ane ko kahte
6733,4Wd ke bhi video dalo bhai
6734,"2salendr,ka,kya,kimt,h"
6735,New Holland ma 5years as pahal 15 gear hai Jada mat dodeya
6736,सर आपने यह जो ऐसी कभी बोला है यह कहां से लगवाना है इसका प्राइस क्या है
6737,Mahindra traktar kitana  paise me aa Raha hai
6738,सरिस्का कीमत क्या है मैं जानना चाहता हूं
6739,Price kitna hai
6740,1 ghante main kitana Khata hai
6741,Jo farmtrac kar Lea ga vo juvo ne kar sakta
6742,Farmtrac ma
6743,Bahi 500hours ka servis hai
6744,Bahi farmtrac 45 classic bast hai or youv sa bast hai
6745,Cultivator zameen to upper hai...tractor da jor te lga nahi Rahe.    third class video bna k tractor di insult kr rahe
6746,mahindra yuvo and Rs kitna hia
6747,Gopal da
6748,I'm waiting for this tractor I love mahindra
6749,Uploaded the testimonial videos
6750,Good
6751,mahindra 475 no 1
6752,no 1 my fevorite
6753,sir mahindra 575 do ka tremprechar mortar kite ka milega
6754,cg 575 price
6755,Nice video
6756,👌👌
6757,I completed my btech mechanical any vaccancies. Plz inform me...8790024887
6758,Sab ke mil kar hamko chutiya bana rhe hai
6759,Price kay he
6760,super
6761,Ye bhi batayen  kitne vajan ka plough kheech sakta hai 35hp tractor
6762,Mahindra 265 power plus video uploaaro 2mb reversible plough ke saath. Ye baata6
6763,क्या आपका कोई नया छोटा ट्रॕक्टर आनेवाला है???
6764,gjb
6765,9537454898
6766,mahindra no 1 h
6767,mast he
6768,I love mahindra
6769,My life
6770,"chandradev Kumar so,Mantu saw neemnawada"
6771,chandradev Kumar
6772,Mahindra tractor is world best
6773,Nice product
6774,How to make hydrolic quick operating when it works too slow up and down
6775,O sir ji job dai do
6776,nice mahindara
6777,नठजचपठ
6778,m
6779,patil
6780,Sabse baekar tractor hai
6781,nust var
6782,Arjun विषय hard
6783,Bhai barish hoga to ky kere tub to engine chalu rahega na
6784,ಎಷ್ಟು  ಸರ್‌
6785,Nice
6786,driver  less is available in india
6787,क्लज लॉक  चाहिऐ प्लिज बताईऐ कहा मिलेगा और कितने का ? 9823083734 Plz coll mi
6788,बिल्कुल बेकार है आप का ४१५ कोई काम का नहीं है मेंरा नाम गोलू             मिश्रा है मेंरे पास है 2015 माडल का मेरा मोबाइल नंबर है9794929392 मैं इलाहाबाद का हूं महिन्द्रा में शिकायत भी किया पर किसी ने भी नहीं सुना
6789,Super👌👌👌👌👌👌👌👌👌  Mahindra
6790,What is plough used for? Is its purpose different from cultivator?
6791,Nice swaraj
6792,Nice
6793,Sir mane patiala sandeep tractor house mai iti time training kari thi tab farmer ki koi nai sunta or mahindra  industry par trust nai rehata or agency wale farmer ko tang karte hai  mai ab btech kar gaya hu
6794,Vase to aj kal paper type filter ka time period hota hai
6795,Best
6796,रोटर के साथ 1 घंटे में कितना डीजल खाता है yogi 575
6797,nice Technology
6798,महिंद्रा 255 di रेडियेटर में पानी नहीं था बिना पानी के चला दिया 30 मिनट फूल गरम हो जाता है उसके बाद पानी डाला तो भी हो रहा है रेडिएटर के ऊपर ढक्कन रहता है उसमे भी पानी डालना पड़ता है क्या ।
6799,265👌👌👌👌👌👌👌👌💐
6800,ouri ki ejansi me svese shi nhi hoti h 7607212198
6801,good  tactar
6802,nice
6803,"Omg awesome tractor👇👇👇
https://youtu.be/2fEKqHqky1Q"
6804,mahendra 575 tractor not yuvo
6805,Sir main UN karta hoon ki mera light nahi gujarta hai tractor Mahindra car 4 7
6806,nice trectar
6807,Mahindra tractor is the best
6808,Mahindra yuvo 575 Rajasthan fix price
6809,Thanks
6810,"Wow superb innovation but
How it's work mud"
6811,नारायण बलाई हलेड
6812,"It has a Trimble display, antennae, and guidance valve. So how does it work? Some sort of API that interfaces with the machine and Trimble display?"
6813,टोली खाली करने के लिये अलग से पिटियो होना चाहियै
6814,"TENGO UN MAHINDRA 8000 4WD Y ME GUSTARIA QUE ME FACILITEN EL MANUAL DE MANTENIMIENTO O TALLER omar.aller.maza@gmail.com, saludos."
6815,Mahindra tractor me music system Kaha lagta h
6816,"new threnchr hydraulic
manoj suthar
9667422522"
6817,ششجوح
6818,Very like mahindra
6819,Mere pas jivo 225ib he best tractor  he
6820,Supar
6821,Mahindra Yuvo 575 latest price kitna in WB
6822,Eicher tractor kharido air-cooled hai
6823,"Waste of money,,"
6824,yuvo picup acha hi but tyres and eche more problem ....why
6825,yuvo picup acha hi but tyres and eche more problem ....why
6826,yuvo picup acha hi but tyres and eche more problem ....why
6827,model konsa  hai
6828,"555 arjun ultra ka liye smart kit milige kya
Could u plz send ur whatsapp no"
6829,Mahindra is the great tractor in the world
6830,More jobless people.?..by auto machine
6831,8
6832,swaraj
6833,Nice
6834,Very primitive
6835,नं़१
6836,temperature जल्दी low कैसे करें
6837,Good tractor
6838,सार्क
6839,युवराज तेक्टर बाद का padto
6840,Kafi aacha chalta he mahindra yuvo mahindra yuvo rise
6841,भाई मुझको गन्ना फसल की जुताई करने के लिए ट्रैक्टर लेना है क्या ये ट्रेक्टर सही रहेगा या फिर सोनालिका का 20hp सही रहेगा
6842,Nice one mahindra 245 di 4wd tractor
6843,Sir  call No 9822510847
6844,nice
6845,Achi gadi
6846,poda pudei
6847,Any ways you copying it from john deree .. can t you atleast do that  right.
6848,Sir 4silender me tel jayda to nahi piyega Kya
6849,Sir 415 2700 c c me hone par char silender  kyo tin me bi Kam chalta h acha to char ka Kya fayde h Plz batawo
